127.0.0.1 - - [13/Mar/2017:14:32:15 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [13/Mar/2017:14:32:21 +0800] "GET /manager/login.jsp HTTP/1.1" 200 6458
0:0:0:0:0:0:0:1 - - [13/Mar/2017:14:32:22 +0800] "GET /manager/css/global.css HTTP/1.1" 200 10270
0:0:0:0:0:0:0:1 - - [13/Mar/2017:14:32:22 +0800] "GET /manager/js/common.js HTTP/1.1" 200 26640
0:0:0:0:0:0:0:1 - - [13/Mar/2017:14:32:22 +0800] "GET /manager/js/jquery-ui-timepicker-addon.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:14:32:22 +0800] "GET /manager/js/SimpleGrid.js HTTP/1.1" 200 13212
0:0:0:0:0:0:0:1 - - [13/Mar/2017:14:32:23 +0800] "GET /manager/images/back-login.jpg HTTP/1.1" 200 53030
0:0:0:0:0:0:0:1 - - [13/Mar/2017:14:32:24 +0800] "GET /manager/checkimg.html HTTP/1.1" 200 1208
192.168.2.100 - - [13/Mar/2017:14:32:43 +0800] "GET /manager/login.jsp HTTP/1.1" 200 6458
192.168.2.100 - - [13/Mar/2017:14:32:43 +0800] "GET /manager/css/combox.css HTTP/1.1" 200 284
192.168.2.100 - - [13/Mar/2017:14:32:43 +0800] "GET /manager/css/global.css HTTP/1.1" 200 10270
192.168.2.100 - - [13/Mar/2017:14:32:43 +0800] "GET /manager/css/jquery-ui-timepicker-addon.css HTTP/1.1" 200 1705
192.168.2.100 - - [13/Mar/2017:14:32:43 +0800] "GET /manager/css/jquery-ui.min.css HTTP/1.1" 200 27848
192.168.2.100 - - [13/Mar/2017:14:32:43 +0800] "GET /manager/css/SimpleGrid.css HTTP/1.1" 200 1030
192.168.2.100 - - [13/Mar/2017:14:32:43 +0800] "GET /manager/js/common.js HTTP/1.1" 200 26640
192.168.2.100 - - [13/Mar/2017:14:32:43 +0800] "GET /manager/js/jquery-ui-timepicker-addon.js HTTP/1.1" 200 78771
192.168.2.100 - - [13/Mar/2017:14:32:44 +0800] "GET /manager/js/jquery-1.7.2.min.js HTTP/1.1" 200 94840
192.168.2.100 - - [13/Mar/2017:14:32:44 +0800] "GET /manager/js/jquery-ui.min.js HTTP/1.1" 200 237548
192.168.2.100 - - [13/Mar/2017:14:32:44 +0800] "GET /manager/js/jquery.ui.datepicker-zh-CN.js HTTP/1.1" 200 1046
192.168.2.100 - - [13/Mar/2017:14:32:44 +0800] "GET /manager/js/SimpleGrid.js HTTP/1.1" 200 13212
192.168.2.100 - - [13/Mar/2017:14:32:44 +0800] "GET /manager/js/globalize.culture.de-DE.js HTTP/1.1" 200 1981
192.168.2.100 - - [13/Mar/2017:14:32:44 +0800] "GET /manager/js/jquery-ui-timepicker-zh-CN.js HTTP/1.1" 200 535
192.168.2.100 - - [13/Mar/2017:14:32:44 +0800] "GET /manager/js/globalize.js HTTP/1.1" 200 47289
