127.0.0.1 - - [26/Mar/2017:19:01:40 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:44 +0800] "GET /manager/usermanage.jsp HTTP/1.1" 200 14336
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:44 +0800] "GET /manager/css/global.css HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:44 +0800] "GET /manager/js/common.js HTTP/1.1" 200 23718
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:44 +0800] "GET /manager/modules/modules.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:44 +0800] "GET /manager/js/Tdrag.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:45 +0800] "GET /manager/js/messagebox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:45 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:45 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:45 +0800] "GET /manager/modules/mainframe/mainframe.js HTTP/1.1" 200 7268
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:45 +0800] "GET /manager/modules/frametop/frametop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:45 +0800] "GET /manager/modules/chgpwd/chgpwd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:45 +0800] "GET /manager/modules/button/button.js HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:45 +0800] "GET /manager/modules/leftmenu/leftmenu.js HTTP/1.1" 200 4208
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:45 +0800] "GET /manager/modules/condgroup/condgroup.js HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:46 +0800] "GET /manager/js/SimpleGrid.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:46 +0800] "GET /manager/modules/datagrid/datagrid.js HTTP/1.1" 200 9897
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:46 +0800] "GET /manager/modules/dialog/dialog.css HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:46 +0800] "GET /manager/modules/labelinput/labelinput.css HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:46 +0800] "GET /manager/modules/frametop/frametop.css HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:46 +0800] "GET /manager/modules/chgpwd/chgpwd.css HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:46 +0800] "GET /manager/modules/mainframe/mainframe.css HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:46 +0800] "GET /manager/modules/leftmenu/leftmenu.css HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:46 +0800] "GET /manager/modules/button/button.css HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:46 +0800] "GET /manager/modules/condgroup/condgroup.css HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:46 +0800] "GET /manager/modules/datagrid/datagrid.css HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:47 +0800] "POST /manager/ajaxpage.html?ajax=communityList HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:48 +0800] "POST /manager/ajaxpage.html?ajax=userList&exclude=1&noType=4&pagesize=20&curpage=1 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:48 +0800] "GET /manager/images/info.png HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:48 +0800] "GET /manager/css/images/sgrid-bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:19:01:48 +0800] "GET /manager/modules/dialog/close.png HTTP/1.1" 200 3236
192.168.2.100 - - [26/Mar/2017:19:01:53 +0800] "GET /manager HTTP/1.1" 302 -
192.168.2.100 - - [26/Mar/2017:19:01:53 +0800] "GET /manager/ HTTP/1.1" 200 5757
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/css/global.css HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/modules.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/js/common.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/js/Tdrag.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/js/messagebox.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/mainframe/mainframe.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/frametop/frametop.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/chgpwd/chgpwd.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/button/button.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/condgroup/condgroup.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/datagrid/datagrid.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/leftmenu/leftmenu.js HTTP/1.1" 200 4208
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/bkground/bkground.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/pagelogin/pagelogin.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/dialog/dialog.css HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/labelinput/labelinput.css HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/mainframe/mainframe.css HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/frametop/frametop.css HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/leftmenu/leftmenu.css HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/button/button.css HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/chgpwd/chgpwd.css HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/datagrid/datagrid.css HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/condgroup/condgroup.css HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/modules/pagelogin/pagelogin.css HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:54 +0800] "GET /manager/images/back-login.jpg HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:01:55 +0800] "GET /manager/checkimg.html HTTP/1.1" 200 1212
192.168.2.100 - - [26/Mar/2017:19:01:55 +0800] "GET /favicon.ico HTTP/1.1" 404 988
192.168.2.100 - - [26/Mar/2017:19:02:05 +0800] "POST /manager/ajaxpage.html?ajax=login HTTP/1.1" 200 49
192.168.2.100 - - [26/Mar/2017:19:02:06 +0800] "GET /manager/index.html?action=homepage HTTP/1.1" 200 8120
192.168.2.100 - - [26/Mar/2017:19:02:06 +0800] "POST /manager/ajaxpage.html?ajax=getCurUser HTTP/1.1" 200 83
192.168.2.100 - - [26/Mar/2017:19:02:06 +0800] "GET /manager/images/top.png HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:02:10 +0800] "GET /manager/index.html?action=selmenu&name=sysuserman HTTP/1.1" 200 14336
192.168.2.100 - - [26/Mar/2017:19:02:10 +0800] "POST /manager/ajaxpage.html?ajax=communityList HTTP/1.1" 200 139
192.168.2.100 - - [26/Mar/2017:19:02:10 +0800] "POST /manager/ajaxpage.html?ajax=userList&exclude=1&noType=4&pagesize=20&curpage=1 HTTP/1.1" 200 236
192.168.2.100 - - [26/Mar/2017:19:05:35 +0800] "POST /manager/ajaxpage.html?ajax=logout HTTP/1.1" 200 -
192.168.2.100 - - [26/Mar/2017:19:05:35 +0800] "GET /manager/login.html HTTP/1.1" 200 5757
192.168.2.100 - - [26/Mar/2017:19:05:35 +0800] "GET /manager/modules/leftmenu/leftmenu.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:19:05:35 +0800] "GET /manager/checkimg.html HTTP/1.1" 200 1315
192.168.2.100 - - [26/Mar/2017:19:05:40 +0800] "POST /manager/ajaxpage.html?ajax=login HTTP/1.1" 200 49
192.168.2.100 - - [26/Mar/2017:19:05:41 +0800] "GET /manager/index.html?action=homepage HTTP/1.1" 200 10040
192.168.2.100 - - [26/Mar/2017:19:05:41 +0800] "POST /manager/ajaxpage.html?ajax=getCurUser HTTP/1.1" 200 80
192.168.2.100 - - [26/Mar/2017:20:10:19 +0800] "POST /manager/ajaxpage.html?ajax=logout HTTP/1.1" 200 -
192.168.2.100 - - [26/Mar/2017:20:10:19 +0800] "GET /manager/login.html HTTP/1.1" 200 5757
192.168.2.100 - - [26/Mar/2017:20:10:19 +0800] "GET /manager/modules/leftmenu/leftmenu.js HTTP/1.1" 304 -
192.168.2.100 - - [26/Mar/2017:20:10:19 +0800] "GET /manager/checkimg.html HTTP/1.1" 200 1218
