192.168.2.100 - - [29/Mar/2017:11:11:51 +0800] "GET /manager/modules/pagelogin/pagelogin.js HTTP/1.1" 200 4389
192.168.2.100 - - [29/Mar/2017:11:11:51 +0800] "GET /manager/modules/labelinput/labelinput.css HTTP/1.1" 200 639
192.168.2.100 - - [29/Mar/2017:11:11:51 +0800] "GET /manager/modules/frametop/frametop.css HTTP/1.1" 200 1067
192.168.2.100 - - [29/Mar/2017:11:11:51 +0800] "GET /manager/modules/dialog/dialog.css HTTP/1.1" 200 1342
192.168.2.100 - - [29/Mar/2017:11:11:51 +0800] "GET /manager/modules/mainframe/mainframe.css HTTP/1.1" 200 1922
192.168.2.100 - - [29/Mar/2017:11:11:52 +0800] "GET /manager/modules/condgroup/condgroup.css HTTP/1.1" 200 817
192.168.2.100 - - [29/Mar/2017:11:11:52 +0800] "GET /manager/modules/leftmenu/leftmenu.css HTTP/1.1" 200 1201
192.168.2.100 - - [29/Mar/2017:11:11:52 +0800] "GET /manager/modules/button/button.css HTTP/1.1" 200 313
192.168.2.100 - - [29/Mar/2017:11:11:52 +0800] "GET /manager/modules/chgpwd/chgpwd.css HTTP/1.1" 200 192
192.168.2.100 - - [29/Mar/2017:11:11:52 +0800] "GET /manager/checkimg.html HTTP/1.1" 200 1306
192.168.2.100 - - [29/Mar/2017:11:11:52 +0800] "GET /manager/modules/datagrid/datagrid.css HTTP/1.1" 200 1235
192.168.2.100 - - [29/Mar/2017:11:11:52 +0800] "GET /manager/images/bg-login.png HTTP/1.1" 200 133
192.168.2.100 - - [29/Mar/2017:11:11:52 +0800] "GET /manager/modules/pagelogin/pagelogin.css HTTP/1.1" 200 926
192.168.2.100 - - [29/Mar/2017:11:11:52 +0800] "GET /manager/images/back-login.jpg HTTP/1.1" 200 166928
192.168.2.100 - - [29/Mar/2017:11:12:11 +0800] "GET /manager/ HTTP/1.1" 200 5757
192.168.2.100 - - [29/Mar/2017:11:12:11 +0800] "GET /manager/css/jquery-ui.min.css HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:12:11 +0800] "GET /manager/css/global.css HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:12:11 +0800] "GET /manager/js/common.js HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:12:11 +0800] "GET /manager/js/combox.js HTTP/1.1" 304 -
192.168.2.100 - - [29/Mar/2017:11:12:11 +0800] "GET /manager/css/combox.css HTTP/1.1" 304 -
