127.0.0.1 - - [28/Mar/2017:19:45:21 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:27 +0800] "GET /manager/usermanage.jsp HTTP/1.1" 200 13451
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:27 +0800] "GET /manager/css/global.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:27 +0800] "GET /manager/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:27 +0800] "GET /manager/modules/modules.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:28 +0800] "GET /manager/js/Tdrag.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:28 +0800] "GET /manager/js/messagebox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:28 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:28 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:28 +0800] "GET /manager/modules/chgpwd/chgpwd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:28 +0800] "GET /manager/modules/leftmenu/leftmenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:29 +0800] "GET /manager/modules/button/button.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:29 +0800] "GET /manager/modules/condgroup/condgroup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:29 +0800] "GET /manager/modules/datagrid/datagrid.js HTTP/1.1" 200 10042
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:29 +0800] "GET /manager/modules/mainframe/mainframe.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:29 +0800] "GET /manager/modules/frametop/frametop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:29 +0800] "GET /manager/modules/dialog/dialog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:29 +0800] "GET /manager/modules/labelinput/labelinput.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:29 +0800] "GET /manager/modules/mainframe/mainframe.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:29 +0800] "GET /manager/modules/frametop/frametop.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:29 +0800] "GET /manager/modules/chgpwd/chgpwd.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:29 +0800] "GET /manager/modules/leftmenu/leftmenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:19:45:29 +0800] "GET /manager/modules/button/button.css HTTP/1.1" 304 -
