192.168.183.1 - - [27/May/2018:11:29:47 +0800] "GET /manager/js/SimpleGrid.js HTTP/1.1" 200 13212
192.168.183.1 - - [27/May/2018:11:29:47 +0800] "GET /manager/js/amapinit.js HTTP/1.1" 200 12060
192.168.183.1 - - [27/May/2018:11:29:47 +0800] "GET /manager/modules/dialog/dialog.css HTTP/1.1" 200 1419
192.168.183.1 - - [27/May/2018:11:34:46 +0800] "GET /manager/setptpoligon.html HTTP/1.1" 200 5447
192.168.183.1 - - [27/May/2018:11:34:46 +0800] "GET /manager/css/jquery-ui.min.css HTTP/1.1" 200 27848
192.168.183.1 - - [27/May/2018:11:34:46 +0800] "GET /manager/css/global.css HTTP/1.1" 200 4037
192.168.183.1 - - [27/May/2018:11:34:46 +0800] "GET /manager/css/combox.css HTTP/1.1" 200 284
192.168.183.1 - - [27/May/2018:11:34:46 +0800] "GET /manager/css/jquery-ui-timepicker-addon.css HTTP/1.1" 200 1705
192.168.183.1 - - [27/May/2018:11:34:46 +0800] "GET /manager/css/SimpleGrid.css HTTP/1.1" 200 1030
192.168.183.1 - - [27/May/2018:11:34:46 +0800] "GET /manager/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629
192.168.183.1 - - [27/May/2018:11:34:46 +0800] "GET /manager/js/jquery.form.min.js HTTP/1.1" 200 15248
192.168.183.1 - - [27/May/2018:11:34:46 +0800] "GET /manager/js/jquery-ui.min.js HTTP/1.1" 200 237548
192.168.183.1 - - [27/May/2018:11:34:46 +0800] "GET /manager/js/common.js HTTP/1.1" 200 26445
