127.0.0.1 - - [16/Jun/2018:13:02:24 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Jun/2018:13:02:29 +0800] "GET /manager/facility.jsp HTTP/1.1" 200 29196
0:0:0:0:0:0:0:1 - - [16/Jun/2018:13:02:29 +0800] "GET /manager/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:13:02:29 +0800] "GET /manager/css/global.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:13:02:29 +0800] "GET /manager/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:13:02:29 +0800] "GET /manager/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:13:02:29 +0800] "GET /manager/modules/modules.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:13:02:29 +0800] "GET /manager/js/Tdrag.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:13:02:29 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:13:02:29 +0800] "GET /manager/js/messagebox.js HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [16/Jun/2018:13:02:29 +0800] "GET /manager/js/amapinit.js HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [16/Jun/2018:13:02:29 +0800] "GET /manager/modules/button/button.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:13:02:29 +0800] "GET /manager/modules/dialog/close.png HTTP/1.1" 304 -
192.168.183.1 - - [16/Jun/2018:13:03:53 +0800] "GET /manager/facility.html HTTP/1.1" 200 440
192.168.183.1 - - [16/Jun/2018:13:03:53 +0800] "GET /favicon.ico HTTP/1.1" 404 973
192.168.183.1 - - [16/Jun/2018:13:03:59 +0800] "GET /manager/facility.html?projid=123 HTTP/1.1" 200 29199
192.168.183.1 - - [16/Jun/2018:13:03:59 +0800] "GET /manager/js/amapinit.js HTTP/1.1" 304 -
192.168.183.1 - - [16/Jun/2018:13:03:59 +0800] "GET /manager/css/global.css HTTP/1.1" 304 -
192.168.183.1 - - [16/Jun/2018:13:04:04 +0800] "POST /manager/ajax.html?ajax=getLocation HTTP/1.1" 200 26
192.168.183.1 - - [16/Jun/2018:13:04:09 +0800] "GET /manager/facility.html?projid=12345 HTTP/1.1" 200 29201
192.168.183.1 - - [16/Jun/2018:13:04:10 +0800] "POST /manager/ajax.html?ajax=getLocation HTTP/1.1" 200 330
192.168.183.1 - - [16/Jun/2018:13:04:10 +0800] "POST /manager/ajax.html?ajax=getFacility HTTP/1.1" 200 26
127.0.0.1 - - [16/Jun/2018:13:05:00 +0800] "GET / HTTP/1.1" 404 951
