127.0.0.1 - - [20/Mar/2017:10:21:30 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:33 +0800] "GET /manager/sysman.jsp HTTP/1.1" 200 7392
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:33 +0800] "GET /manager/css/combox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/js/globalize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/css/SimpleGrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/js/globalize.culture.de-DE.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/js/combox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/js/Tdrag.js HTTP/1.1" 200 23624
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 200 5269
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/modules/modules.js HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/js/messagebox.js HTTP/1.1" 200 3007
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/modules/mainframe/mainframe.js HTTP/1.1" 200 6729
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/modules/chgpwd/chgpwd.js HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/modules/frametop/frametop.js HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [20/Mar/2017:10:21:34 +0800] "GET /manager/modules/leftmenu/leftmenu.js HTTP/1.1" 200 3553
192.168.2.100 - - [20/Mar/2017:10:21:48 +0800] "GET /manager/ HTTP/1.1" 200 5236
192.168.2.100 - - [20/Mar/2017:10:21:48 +0800] "GET /manager/css/global.css HTTP/1.1" 304 -
192.168.2.100 - - [20/Mar/2017:10:21:48 +0800] "GET /manager/js/common.js HTTP/1.1" 304 -
192.168.2.100 - - [20/Mar/2017:10:21:48 +0800] "GET /manager/modules/modules.js HTTP/1.1" 200 556
192.168.2.100 - - [20/Mar/2017:10:21:48 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 200 5269
192.168.2.100 - - [20/Mar/2017:10:21:48 +0800] "GET /manager/js/messagebox.js HTTP/1.1" 304 -
192.168.2.100 - - [20/Mar/2017:10:21:48 +0800] "GET /manager/js/Tdrag.js HTTP/1.1" 304 -
192.168.2.100 - - [20/Mar/2017:10:21:48 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 304 -
192.168.2.100 - - [20/Mar/2017:10:21:48 +0800] "GET /manager/modules/bkground/bkground.js HTTP/1.1" 304 -
