127.0.0.1 - - [19/Mar/2017:18:38:42 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [19/Mar/2017:18:38:52 +0800] "GET /manager/sysman.jsp HTTP/1.1" 200 5763
192.168.2.100 - - [19/Mar/2017:18:39:00 +0800] "GET /manager/test.html HTTP/1.1" 200 3289
192.168.2.100 - - [19/Mar/2017:18:39:01 +0800] "GET /manager/js/resize.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:39:01 +0800] "GET /manager/js/messagebox.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:39:01 +0800] "GET /manager/js/Tdrag.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:39:01 +0800] "GET /manager/modules/mainframe/mainframe.js HTTP/1.1" 404 1069
192.168.2.100 - - [19/Mar/2017:18:39:01 +0800] "GET /manager/modules/frametop/frametop.js HTTP/1.1" 404 1063
192.168.2.100 - - [19/Mar/2017:18:39:01 +0800] "GET /manager/modules/chgpwd/chgpwd.js HTTP/1.1" 404 1051
192.168.2.100 - - [19/Mar/2017:18:39:01 +0800] "GET /manager/modules/modules.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:39:01 +0800] "GET /manager/modules/leftmenu/leftmenu.js HTTP/1.1" 404 1063
192.168.2.100 - - [19/Mar/2017:18:39:01 +0800] "GET /manager/css/global.css HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:39:01 +0800] "GET /manager/js/common.js HTTP/1.1" 200 23767
192.168.2.100 - - [19/Mar/2017:18:39:02 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:39:02 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:39:02 +0800] "GET /manager/modules/mainframe/mainframe.js HTTP/1.1" 404 1069
192.168.2.100 - - [19/Mar/2017:18:39:02 +0800] "GET /manager/modules/frametop/frametop.js HTTP/1.1" 404 1063
192.168.2.100 - - [19/Mar/2017:18:39:02 +0800] "GET /manager/modules/chgpwd/chgpwd.js HTTP/1.1" 404 1051
192.168.2.100 - - [19/Mar/2017:18:39:02 +0800] "GET /manager/modules/leftmenu/leftmenu.js HTTP/1.1" 404 1063
192.168.2.100 - - [19/Mar/2017:18:39:02 +0800] "GET /manager/modules/dialog/dialog.css HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:39:02 +0800] "GET /manager/modules/labelinput/labelinput.css HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:39:02 +0800] "GET /favicon.ico HTTP/1.1" 404 988
192.168.2.100 - - [19/Mar/2017:18:39:45 +0800] "GET /manager/test.html HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:39:46 +0800] "GET /manager/modules/chgpwd/chgpwd.js HTTP/1.1" 200 2437
192.168.2.100 - - [19/Mar/2017:18:39:46 +0800] "GET /manager/modules/leftmenu/leftmenu.js HTTP/1.1" 200 3553
192.168.2.100 - - [19/Mar/2017:18:39:46 +0800] "GET /manager/modules/mainframe/mainframe.js HTTP/1.1" 200 6729
192.168.2.100 - - [19/Mar/2017:18:39:46 +0800] "GET /manager/modules/frametop/frametop.js HTTP/1.1" 200 2750
192.168.2.100 - - [19/Mar/2017:18:39:46 +0800] "GET /manager/modules/mainframe/mainframe.css HTTP/1.1" 200 1904
192.168.2.100 - - [19/Mar/2017:18:39:46 +0800] "GET /manager/modules/frametop/frametop.css HTTP/1.1" 200 1067
192.168.2.100 - - [19/Mar/2017:18:39:46 +0800] "GET /manager/modules/chgpwd/chgpwd.css HTTP/1.1" 200 190
192.168.2.100 - - [19/Mar/2017:18:39:46 +0800] "GET /manager/modules/leftmenu/leftmenu.css HTTP/1.1" 200 1201
192.168.2.100 - - [19/Mar/2017:18:39:46 +0800] "GET /manager/images/top.png HTTP/1.1" 404 1021
192.168.2.100 - - [19/Mar/2017:18:40:20 +0800] "GET /manager/test.html HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:40:20 +0800] "GET /manager/js/common.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:40:20 +0800] "GET /manager/images/top.png HTTP/1.1" 200 26087
192.168.2.100 - - [19/Mar/2017:18:40:35 +0800] "GET /manager/sysman.jsp HTTP/1.1" 200 5763
192.168.2.100 - - [19/Mar/2017:18:40:35 +0800] "GET /manager/pagetop.js HTTP/1.1" 200 1405
192.168.2.100 - - [19/Mar/2017:18:40:35 +0800] "GET /manager/bottom.js HTTP/1.1" 200 172
192.168.2.100 - - [19/Mar/2017:18:44:27 +0800] "GET /manager/sysman.jsp HTTP/1.1" 200 5763
192.168.2.100 - - [19/Mar/2017:18:44:27 +0800] "GET /manager/js/common.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:44:27 +0800] "GET /manager/pagetop.js HTTP/1.1" 200 1423
192.168.2.100 - - [19/Mar/2017:18:44:27 +0800] "GET /manager/bottom.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:44:27 +0800] "GET /manager/modules/leftmenu/leftmenu.css HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:48:53 +0800] "GET /manager/sysman.jsp HTTP/1.1" 200 9635
192.168.2.100 - - [19/Mar/2017:18:48:53 +0800] "GET /manager/js/common.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:49:38 +0800] "GET /manager/sysman.jsp HTTP/1.1" 200 7343
192.168.2.100 - - [19/Mar/2017:18:49:39 +0800] "GET /manager/modules/leftmenu/leftmenu.css HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:51:29 +0800] "GET /manager/sysman.jsp HTTP/1.1" 200 7371
192.168.2.100 - - [19/Mar/2017:18:51:30 +0800] "GET /manager/js/common.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:51:30 +0800] "GET /manager/modules/leftmenu/groupbackground.png HTTP/1.1" 200 1096
192.168.2.100 - - [19/Mar/2017:18:51:30 +0800] "GET /manager/modules/leftmenu/groupbackground_ex.png HTTP/1.1" 200 1092
192.168.2.100 - - [19/Mar/2017:18:51:32 +0800] "POST /manager/ajaxpage.html?ajax=getCurUser HTTP/1.1" 200 44
192.168.2.100 - - [19/Mar/2017:18:51:32 +0800] "GET /manager/index.html HTTP/1.1" 200 5236
192.168.2.100 - - [19/Mar/2017:18:51:33 +0800] "GET /manager/modules/bkground/bkground.js HTTP/1.1" 200 1049
192.168.2.100 - - [19/Mar/2017:18:51:33 +0800] "GET /manager/modules/pagelogin/pagelogin.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:51:33 +0800] "GET /manager/modules/pagelogin/pagelogin.css HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:51:33 +0800] "GET /manager/images/back-login.jpg HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:51:34 +0800] "GET /manager/checkimg.html HTTP/1.1" 200 1233
192.168.2.100 - - [19/Mar/2017:18:51:48 +0800] "POST /manager/ajaxpage.html?ajax=login HTTP/1.1" 200 47
192.168.2.100 - - [19/Mar/2017:18:51:49 +0800] "GET /manager/checkimg.html?1489920709009 HTTP/1.1" 200 1319
192.168.2.100 - - [19/Mar/2017:18:51:49 +0800] "GET /manager/modules/dialog/close.png HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:52:15 +0800] "POST /manager/ajaxpage.html?ajax=login HTTP/1.1" 200 49
192.168.2.100 - - [19/Mar/2017:18:52:15 +0800] "GET /manager/index.html?action=homepage HTTP/1.1" 200 7371
192.168.2.100 - - [19/Mar/2017:18:52:16 +0800] "POST /manager/ajaxpage.html?ajax=getCurUser HTTP/1.1" 200 83
192.168.2.100 - - [19/Mar/2017:18:53:43 +0800] "GET /manager/index.html?action=homepage HTTP/1.1" 200 7371
192.168.2.100 - - [19/Mar/2017:18:53:43 +0800] "POST /manager/ajaxpage.html?ajax=getCurUser HTTP/1.1" 200 83
192.168.2.100 - - [19/Mar/2017:18:55:24 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 200 1978
192.168.2.100 - - [19/Mar/2017:18:55:34 +0800] "GET /manager/index.html?action=homepage HTTP/1.1" 200 7371
192.168.2.100 - - [19/Mar/2017:18:55:34 +0800] "GET /manager/js/common.js HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:55:35 +0800] "POST /manager/ajaxpage.html?ajax=getCurUser HTTP/1.1" 200 83
192.168.2.100 - - [19/Mar/2017:18:55:35 +0800] "GET /manager/modules/leftmenu/leftmenu.css HTTP/1.1" 304 -
192.168.2.100 - - [19/Mar/2017:18:55:36 +0800] "GET /manager/index.html?action=homepage HTTP/1.1" 200 7371
192.168.2.100 - - [19/Mar/2017:18:55:36 +0800] "POST /manager/ajaxpage.html?ajax=getCurUser HTTP/1.1" 200 83
192.168.2.100 - - [19/Mar/2017:18:56:16 +0800] "GET /manager/index.html?action=homepage HTTP/1.1" 200 7392
192.168.2.100 - - [19/Mar/2017:18:56:16 +0800] "POST /manager/ajaxpage.html?ajax=getCurUser HTTP/1.1" 200 83
192.168.2.100 - - [19/Mar/2017:18:56:49 +0800] "GET /manager/index.html?action=homepage HTTP/1.1" 200 7392
192.168.2.100 - - [19/Mar/2017:18:56:50 +0800] "POST /manager/ajaxpage.html?ajax=getCurUser HTTP/1.1" 200 83
