127.0.0.1 - - [14/Mar/2017:10:34:18 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:34:20 +0800] "GET /manager/test.html HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:34:20 +0800] "GET /manager/modules/modules.js HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:34:20 +0800] "GET /manager/js/resize.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:34:20 +0800] "GET /manager/modules/pagelogin/pagelogin.js HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:34:20 +0800] "GET /manager/modules/bkground/bkground.js HTTP/1.1" 200 1037
192.168.2.100 - - [14/Mar/2017:10:34:37 +0800] "GET /manager/test.html HTTP/1.1" 200 1043
192.168.2.100 - - [14/Mar/2017:10:34:37 +0800] "GET /manager/js/jquery-1.7.2.min.js HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:37 +0800] "GET /manager/js/jquery-1.7.2.min.js HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:37 +0800] "GET /manager/css/global.css HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:37 +0800] "GET /manager/js/common.js HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:37 +0800] "GET /manager/modules/modules.js HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:37 +0800] "GET /manager/js/resize.js HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:37 +0800] "GET /manager/modules/bkground/bkground.js HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:37 +0800] "GET /manager/modules/pagelogin/pagelogin.js HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:37 +0800] "GET /manager/modules/pagelogin/pagelogin.css HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:37 +0800] "GET /manager/modules/pagelogin/images/bg-login.png HTTP/1.1" 404 1090
192.168.2.100 - - [14/Mar/2017:10:34:37 +0800] "GET /manager/images/back-login.jpg HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:38 +0800] "GET /manager/checkimg.html HTTP/1.1" 200 1287
192.168.2.100 - - [14/Mar/2017:10:34:55 +0800] "GET /manager/test.html HTTP/1.1" 200 1043
192.168.2.100 - - [14/Mar/2017:10:34:56 +0800] "GET /manager/modules/pagelogin/pagelogin.js HTTP/1.1" 200 3122
192.168.2.100 - - [14/Mar/2017:10:34:56 +0800] "GET /manager/js/resize.js HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:56 +0800] "GET /manager/modules/modules.js HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:56 +0800] "GET /manager/modules/bkground/bkground.js HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:56 +0800] "GET /manager/js/common.js HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:56 +0800] "GET /manager/modules/pagelogin/pagelogin.css HTTP/1.1" 304 -
192.168.2.100 - - [14/Mar/2017:10:34:56 +0800] "GET /manager/checkimg.html HTTP/1.1" 200 1221
