127.0.0.1 - - [13/Jun/2018:20:45:49 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Jun/2018:20:45:55 +0800] "GET /manager/setptpoligon.jsp HTTP/1.1" 500 8206
192.168.183.1 - - [13/Jun/2018:20:46:19 +0800] "GET /manager/setptpoligon.html?objtype=area&objid=12345 HTTP/1.1" 200 15945
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/jquery.form.min.js HTTP/1.1" 200 15248
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/common.js HTTP/1.1" 200 26445
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/jquery-ui.min.js HTTP/1.1" 200 237548
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/jquery-ui-timepicker-addon.js HTTP/1.1" 200 78771
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/jquery.ui.datepicker-zh-CN.js HTTP/1.1" 200 1046
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/globalize.js HTTP/1.1" 200 47289
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/globalize.culture.de-DE.js HTTP/1.1" 200 1981
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/combox.js HTTP/1.1" 200 3371
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/Tdrag.js HTTP/1.1" 200 23624
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/messagebox.js HTTP/1.1" 200 5331
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/jquery-ui-timepicker-zh-CN.js HTTP/1.1" 200 535
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/amapinit.js HTTP/1.1" 200 11090
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/modules/modules.js HTTP/1.1" 200 624
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/js/SimpleGrid.js HTTP/1.1" 200 13212
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/modules/button/button.js HTTP/1.1" 200 1675
192.168.183.1 - - [13/Jun/2018:20:46:20 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 200 6363
192.168.183.1 - - [13/Jun/2018:20:46:21 +0800] "GET /favicon.ico HTTP/1.1" 404 973
192.168.183.1 - - [13/Jun/2018:20:46:48 +0800] "GET /manager/setptpoligon.html?objtype=area&objid=12345 HTTP/1.1" 200 15945
192.168.183.1 - - [13/Jun/2018:20:52:22 +0800] "GET /manager/setptpoligon.html?objtype=area&objid=12345 HTTP/1.1" 200 15961
