127.0.0.1 - - [15/Mar/2017:13:52:42 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [15/Mar/2017:13:52:46 +0800] "GET /manager/login.jsp HTTP/1.1" 200 5178
0:0:0:0:0:0:0:1 - - [15/Mar/2017:13:52:47 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [15/Mar/2017:13:52:47 +0800] "GET /manager/modules/modules.js HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [15/Mar/2017:13:52:47 +0800] "GET /manager/js/messagebox.js HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [15/Mar/2017:13:52:47 +0800] "GET /manager/modules/bkground/bkground.js HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [15/Mar/2017:13:52:47 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [15/Mar/2017:13:52:47 +0800] "GET /manager/modules/pagelogin/pagelogin.js HTTP/1.1" 200 4373
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/ HTTP/1.1" 200 5178
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/css/global.css HTTP/1.1" 304 -
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/js/common.js HTTP/1.1" 200 24192
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/modules/modules.js HTTP/1.1" 200 541
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 200 2770
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/js/messagebox.js HTTP/1.1" 200 3666
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/modules/bkground/bkground.js HTTP/1.1" 200 1019
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 200 1803
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/modules/pagelogin/pagelogin.js HTTP/1.1" 200 4373
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/modules/dialog/dialog.css HTTP/1.1" 200 374
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/modules/labelinput/labelinput.css HTTP/1.1" 304 -
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/modules/pagelogin/pagelogin.css HTTP/1.1" 304 -
192.168.2.100 - - [15/Mar/2017:13:52:48 +0800] "GET /manager/images/back-login.jpg HTTP/1.1" 304 -
192.168.2.100 - - [15/Mar/2017:13:52:49 +0800] "GET /manager/checkimg.html HTTP/1.1" 200 1182
192.168.2.100 - - [15/Mar/2017:13:52:49 +0800] "GET /favicon.ico HTTP/1.1" 404 988
192.168.2.100 - - [15/Mar/2017:14:39:03 +0800] "GET /manager/ HTTP/1.1" 200 5178
192.168.2.100 - - [15/Mar/2017:14:39:04 +0800] "GET /manager/js/common.js HTTP/1.1" 304 -
192.168.2.100 - - [15/Mar/2017:14:39:04 +0800] "GET /manager/modules/modules.js HTTP/1.1" 304 -
192.168.2.100 - - [15/Mar/2017:14:39:04 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 200 4021
192.168.2.100 - - [15/Mar/2017:14:39:04 +0800] "GET /manager/js/messagebox.js HTTP/1.1" 304 -
192.168.2.100 - - [15/Mar/2017:14:39:04 +0800] "GET /manager/modules/bkground/bkground.js HTTP/1.1" 304 -
192.168.2.100 - - [15/Mar/2017:14:39:04 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 304 -
192.168.2.100 - - [15/Mar/2017:14:39:04 +0800] "GET /manager/modules/pagelogin/pagelogin.js HTTP/1.1" 304 -
192.168.2.100 - - [15/Mar/2017:14:39:04 +0800] "GET /manager/checkimg.html HTTP/1.1" 200 1215
192.168.2.100 - - [15/Mar/2017:14:39:05 +0800] "GET /manager/test.html HTTP/1.1" 200 825
192.168.2.100 - - [15/Mar/2017:14:39:05 +0800] "GET /manager/js/resize.js HTTP/1.1" 304 -
192.168.2.100 - - [15/Mar/2017:14:41:02 +0800] "GET /manager/test.html HTTP/1.1" 304 -
